method,market,rsi_weight,ma_weight,return_pct,win_rate,sharpe,max_dd,trades
and,상승장,0.5,0.5,0.0,0.0,0.0,0.0,0
and,하락장,0.5,0.5,0.0,0.0,0.0,0.0,0
and,횡보장,0.5,0.5,0.0,0.0,0.0,0.0,0
and,혼합장,0.5,0.5,0.0,0.0,0.0,0.0,0
or,상승장,0.5,0.5,-14.683151878704805,46.15384615384615,-0.8913851218462653,31.0204659707733,13
or,하락장,0.5,0.5,-4.9132167720083375,37.5,0.7503512276846787,27.75813294301251,16
or,횡보장,0.5,0.5,-43.28528260100627,30.0,-7.379372932804432,46.87306028011557,20
or,혼합장,0.5,0.5,45.79995372256632,45.45454545454545,4.724594609988457,6.574609805555102,11
majority,상승장,0.5,0.5,-14.683151878704805,46.15384615384615,-0.8913851218462653,31.0204659707733,13
majority,하락장,0.5,0.5,-4.9132167720083375,37.5,0.7503512276846787,27.75813294301251,16
majority,횡보장,0.5,0.5,-43.28528260100627,30.0,-7.379372932804432,46.87306028011557,20
majority,혼합장,0.5,0.5,45.79995372256632,45.45454545454545,4.724594609988457,6.574609805555102,11
weighted,상승장,0.7,0.3,41.47228975464809,50.0,8.643435598667788,6.7108822179970495,2
weighted,상승장,0.5,0.5,0.0,0.0,0.0,0.0,0
weighted,상승장,0.3,0.7,11.045007170850084,41.66666666666667,1.9589293032523885,22.819228557989238,12
weighted,하락장,0.7,0.3,-54.58969740246695,0.0,0.0,54.58969740246695,1
weighted,하락장,0.5,0.5,0.0,0.0,0.0,0.0,0
weighted,하락장,0.3,0.7,26.87660267120469,35.714285714285715,2.710773843899358,22.555034863969617,14
weighted,횡보장,0.7,0.3,-34.80395399234386,0.0,0.0,34.80395399234386,1
weighted,횡보장,0.5,0.5,0.0,0.0,0.0,0.0,0
weighted,횡보장,0.3,0.7,-31.23798041345157,31.57894736842105,-5.7694177861265326,35.58787141806534,19
weighted,혼합장,0.7,0.3,-6.704502783505769,50.0,-4.122239738263308,11.367312320087898,2
weighted,혼합장,0.5,0.5,0.0,0.0,0.0,0.0,0
weighted,혼합장,0.3,0.7,52.452342037181,50.0,5.431626221673614,10.19528639676119,10
